Filepath,Label
..\Fruits_Vegetables\train\bell pepper\Image_22.jpg,bell pepper
..\Fruits_Vegetables\train\cabbage\Image_8.jpg,cabbage
..\Fruits_Vegetables\train\spinach\Image_55.jpg,spinach
..\Fruits_Vegetables\train\sweetpotato\Image_93.jpg,sweetpotato
..\Fruits_Vegetables\train\cucumber\Image_28.jpg,cucumber
..\Fruits_Vegetables\train\eggplant\Image_96.jpg,eggplant
..\Fruits_Vegetables\train\raddish\Image_67.jpg,raddish
..\Fruits_Vegetables\train\capsicum\Image_8.jpg,capsicum
..\Fruits_Vegetables\train\peas\Image_94.jpg,peas
..\Fruits_Vegetables\train\cabbage\Image_91.jpg,cabbage
..\Fruits_Vegetables\train\beetroot\Image_49.jpg,beetroot
..\Fruits_Vegetables\train\cucumber\Image_73.jpg,cucumber
..\Fruits_Vegetables\train\garlic\Image_90.jpg,garlic
..\Fruits_Vegetables\train\pineapple\Image_37.jpg,pineapple
..\Fruits_Vegetables\train\watermelon\Image_7.jpg,watermelon
..\Fruits_Vegetables\train\kiwi\Image_60.jpg,kiwi
..\Fruits_Vegetables\train\onion\Image_99.jpg,onion
..\Fruits_Vegetables\train\pomegranate\Image_12.jpg,pomegranate
..\Fruits_Vegetables\train\spinach\Image_19.jpg,spinach
..\Fruits_Vegetables\train\tomato\Image_9.jpg,tomato
..\Fruits_Vegetables\train\pear\Image_64.jpg,pear
..\Fruits_Vegetables\train\potato\Image_73.jpg,potato
..\Fruits_Vegetables\train\jalepeno\Image_79.jpg,jalepeno
..\Fruits_Vegetables\train\chilli pepper\Image_30.jpg,chilli pepper
..\Fruits_Vegetables\train\soy beans\Image_79.jpg,soy beans
..\Fruits_Vegetables\train\grapes\Image_80.jpg,grapes
..\Fruits_Vegetables\train\peas\Image_29.jpg,peas
..\Fruits_Vegetables\train\onion\Image_3.jpg,onion
..\Fruits_Vegetables\train\pomegranate\Image_18.jpg,pomegranate
..\Fruits_Vegetables\train\cabbage\Image_46.jpg,cabbage
..\Fruits_Vegetables\train\watermelon\Image_5.jpg,watermelon
..\Fruits_Vegetables\train\peas\Image_67.jpg,peas
..\Fruits_Vegetables\train\watermelon\Image_34.jpg,watermelon
..\Fruits_Vegetables\train\corn\Image_14.jpg,corn
..\Fruits_Vegetables\train\pineapple\Image_3.jpg,pineapple
..\Fruits_Vegetables\train\sweetcorn\Image_65.jpg,sweetcorn
..\Fruits_Vegetables\train\orange\Image_12.jpg,orange
..\Fruits_Vegetables\train\chilli pepper\Image_13.jpg,chilli pepper
..\Fruits_Vegetables\train\bell pepper\Image_35.jpg,bell pepper
..\Fruits_Vegetables\train\capsicum\Image_78.jpg,capsicum
..\Fruits_Vegetables\train\chilli pepper\Image_25.jpg,chilli pepper
..\Fruits_Vegetables\train\cucumber\Image_35.jpg,cucumber
..\Fruits_Vegetables\train\potato\Image_83.jpg,potato
..\Fruits_Vegetables\train\watermelon\Image_66.jpg,watermelon
..\Fruits_Vegetables\train\spinach\Image_12.jpg,spinach
..\Fruits_Vegetables\train\garlic\Image_98.jpg,garlic
..\Fruits_Vegetables\train\watermelon\Image_17.jpg,watermelon
..\Fruits_Vegetables\train\turnip\Image_62.jpg,turnip
..\Fruits_Vegetables\train\spinach\Image_94.jpg,spinach
..\Fruits_Vegetables\train\cabbage\Image_85.jpg,cabbage
..\Fruits_Vegetables\train\potato\Image_29.jpg,potato
..\Fruits_Vegetables\train\onion\Image_46.jpg,onion
..\Fruits_Vegetables\train\onion\Image_91.jpg,onion
..\Fruits_Vegetables\train\cabbage\Image_71.jpg,cabbage
..\Fruits_Vegetables\train\grapes\Image_47.jpg,grapes
..\Fruits_Vegetables\train\mango\Image_26.jpg,mango
..\Fruits_Vegetables\train\pomegranate\Image_74.jpg,pomegranate
..\Fruits_Vegetables\train\peas\Image_3.jpg,peas
..\Fruits_Vegetables\train\potato\Image_61.jpg,potato
..\Fruits_Vegetables\train\kiwi\Image_79.jpg,kiwi
..\Fruits_Vegetables\train\peas\Image_47.jpg,peas
..\Fruits_Vegetables\train\turnip\Image_53.jpg,turnip
..\Fruits_Vegetables\train\tomato\Image_43.jpg,tomato
..\Fruits_Vegetables\train\pineapple\Image_65.jpg,pineapple
..\Fruits_Vegetables\train\peas\Image_17.jpg,peas
..\Fruits_Vegetables\train\pineapple\Image_81.jpg,pineapple
..\Fruits_Vegetables\train\capsicum\Image_29.jpg,capsicum
..\Fruits_Vegetables\train\cucumber\Image_46.jpg,cucumber
..\Fruits_Vegetables\train\bell pepper\Image_63.jpg,bell pepper
..\Fruits_Vegetables\train\watermelon\Image_79.jpg,watermelon
..\Fruits_Vegetables\train\spinach\Image_23.jpg,spinach
..\Fruits_Vegetables\train\lettuce\Image_1.jpg,lettuce
..\Fruits_Vegetables\train\onion\Image_11.jpg,onion
..\Fruits_Vegetables\train\mango\Image_1.jpg,mango
..\Fruits_Vegetables\train\soy beans\Image_94.jpg,soy beans
..\Fruits_Vegetables\train\tomato\Image_87.jpg,tomato
..\Fruits_Vegetables\train\pomegranate\Image_40.jpg,pomegranate
..\Fruits_Vegetables\train\pomegranate\Image_45.jpg,pomegranate
..\Fruits_Vegetables\train\garlic\Image_66.jpg,garlic
..\Fruits_Vegetables\train\sweetcorn\Image_25.jpg,sweetcorn
..\Fruits_Vegetables\train\paprika\Image_90.jpg,paprika
..\Fruits_Vegetables\train\sweetpotato\Image_30.jpg,sweetpotato
..\Fruits_Vegetables\train\lemon\Image_88.jpg,lemon
..\Fruits_Vegetables\train\mango\Image_96.jpg,mango
..\Fruits_Vegetables\train\spinach\Image_45.jpg,spinach
..\Fruits_Vegetables\train\peas\Image_11.jpg,peas
..\Fruits_Vegetables\train\tomato\Image_98.jpg,tomato
..\Fruits_Vegetables\train\cucumber\Image_68.jpg,cucumber
..\Fruits_Vegetables\train\kiwi\Image_3.jpg,kiwi
..\Fruits_Vegetables\train\bell pepper\Image_86.jpg,bell pepper
..\Fruits_Vegetables\train\jalepeno\Image_25.jpg,jalepeno
..\Fruits_Vegetables\train\chilli pepper\Image_69.jpg,chilli pepper
..\Fruits_Vegetables\train\grapes\Image_71.jpg,grapes
..\Fruits_Vegetables\train\tomato\Image_19.jpg,tomato
..\Fruits_Vegetables\train\orange\Image_77.jpg,orange
..\Fruits_Vegetables\train\carrot\Image_40.jpg,carrot
..\Fruits_Vegetables\train\lemon\Image_19.jpg,lemon
..\Fruits_Vegetables\train\orange\Image_37.jpg,orange
..\Fruits_Vegetables\train\jalepeno\Image_18.jpg,jalepeno
..\Fruits_Vegetables\train\watermelon\Image_6.jpg,watermelon
..\Fruits_Vegetables\train\bell pepper\Image_78.jpg,bell pepper
..\Fruits_Vegetables\train\paprika\Image_27.jpg,paprika
..\Fruits_Vegetables\train\garlic\Image_55.jpg,garlic
..\Fruits_Vegetables\train\pomegranate\Image_2.jpg,pomegranate
..\Fruits_Vegetables\train\onion\Image_1.jpg,onion
..\Fruits_Vegetables\train\bell pepper\Image_14.jpg,bell pepper
..\Fruits_Vegetables\train\jalepeno\Image_75.jpg,jalepeno
..\Fruits_Vegetables\train\ginger\Image_7.jpg,ginger
..\Fruits_Vegetables\train\cauliflower\Image_56.jpg,cauliflower
..\Fruits_Vegetables\train\watermelon\Image_1.jpg,watermelon
..\Fruits_Vegetables\train\sweetpotato\Image_86.jpg,sweetpotato
..\Fruits_Vegetables\train\peas\Image_89.jpg,peas
..\Fruits_Vegetables\train\cucumber\Image_63.jpg,cucumber
..\Fruits_Vegetables\train\corn\Image_95.jpg,corn
..\Fruits_Vegetables\train\soy beans\Image_95.jpg,soy beans
..\Fruits_Vegetables\train\paprika\Image_25.jpg,paprika
..\Fruits_Vegetables\train\banana\Image_8.jpg,banana
..\Fruits_Vegetables\train\orange\Image_32.jpg,orange
..\Fruits_Vegetables\train\capsicum\Image_20.jpg,capsicum
..\Fruits_Vegetables\train\cabbage\Image_95.jpg,cabbage
..\Fruits_Vegetables\train\pineapple\Image_70.jpg,pineapple
..\Fruits_Vegetables\train\corn\Image_86.jpg,corn
..\Fruits_Vegetables\train\raddish\Image_96.jpg,raddish
..\Fruits_Vegetables\train\corn\Image_2.jpg,corn
..\Fruits_Vegetables\train\carrot\Image_3.jpg,carrot
..\Fruits_Vegetables\train\bell pepper\Image_74.jpg,bell pepper
..\Fruits_Vegetables\train\soy beans\Image_72.jpg,soy beans
..\Fruits_Vegetables\train\cauliflower\Image_58.jpg,cauliflower
..\Fruits_Vegetables\train\eggplant\Image_27.jpg,eggplant
..\Fruits_Vegetables\train\pineapple\Image_7.jpg,pineapple
..\Fruits_Vegetables\train\banana\Image_77.jpg,banana
..\Fruits_Vegetables\train\jalepeno\Image_57.jpg,jalepeno
..\Fruits_Vegetables\train\spinach\Image_13.jpg,spinach
..\Fruits_Vegetables\train\soy beans\Image_98.jpg,soy beans
..\Fruits_Vegetables\train\soy beans\Image_17.jpg,soy beans
..\Fruits_Vegetables\train\jalepeno\Image_63.jpg,jalepeno
..\Fruits_Vegetables\train\peas\Image_31.jpg,peas
..\Fruits_Vegetables\train\jalepeno\Image_26.jpg,jalepeno
..\Fruits_Vegetables\train\watermelon\Image_9.jpg,watermelon
..\Fruits_Vegetables\train\cabbage\Image_47.JPG,cabbage
..\Fruits_Vegetables\train\peas\Image_79.jpg,peas
..\Fruits_Vegetables\train\tomato\Image_34.jpg,tomato
..\Fruits_Vegetables\train\mango\Image_7.jpg,mango
..\Fruits_Vegetables\train\jalepeno\Image_20.jpg,jalepeno
..\Fruits_Vegetables\train\cucumber\Image_100.jpg,cucumber
..\Fruits_Vegetables\train\soy beans\Image_83.jpg,soy beans
..\Fruits_Vegetables\train\raddish\Image_13.jpg,raddish
..\Fruits_Vegetables\train\peas\Image_16.jpg,peas
..\Fruits_Vegetables\train\jalepeno\Image_66.jpg,jalepeno
..\Fruits_Vegetables\train\beetroot\Image_14.jpg,beetroot
..\Fruits_Vegetables\train\paprika\Image_59.jpg,paprika
..\Fruits_Vegetables\train\turnip\Image_58.jpg,turnip
..\Fruits_Vegetables\train\cucumber\Image_5.jpg,cucumber
..\Fruits_Vegetables\train\soy beans\Image_84.jpg,soy beans
..\Fruits_Vegetables\train\cucumber\Image_43.jpg,cucumber
..\Fruits_Vegetables\train\potato\Image_99.JPG,potato
..\Fruits_Vegetables\train\onion\Image_12.jpg,onion
..\Fruits_Vegetables\train\peas\Image_13.jpg,peas
..\Fruits_Vegetables\train\lettuce\Image_27.jpg,lettuce
..\Fruits_Vegetables\train\mango\Image_28.jpg,mango
..\Fruits_Vegetables\train\lettuce\Image_51.jpg,lettuce
..\Fruits_Vegetables\train\tomato\Image_93.jpg,tomato
..\Fruits_Vegetables\train\jalepeno\Image_22.jpg,jalepeno
..\Fruits_Vegetables\train\tomato\Image_96.jpg,tomato
..\Fruits_Vegetables\train\pomegranate\Image_77.jpg,pomegranate
..\Fruits_Vegetables\train\apple\Image_20.jpg,apple
..\Fruits_Vegetables\train\potato\Image_31.jpg,potato
..\Fruits_Vegetables\train\cabbage\Image_92.jpg,cabbage
..\Fruits_Vegetables\train\kiwi\Image_61.jpg,kiwi
..\Fruits_Vegetables\train\cucumber\Image_78.jpg,cucumber
..\Fruits_Vegetables\train\tomato\Image_25.jpg,tomato
..\Fruits_Vegetables\train\soy beans\Image_4.jpg,soy beans
..\Fruits_Vegetables\train\watermelon\Image_3.jpg,watermelon
..\Fruits_Vegetables\train\soy beans\Image_16.jpg,soy beans
..\Fruits_Vegetables\train\grapes\Image_81.jpg,grapes
..\Fruits_Vegetables\train\chilli pepper\Image_47.JPG,chilli pepper
..\Fruits_Vegetables\train\carrot\Image_65.jpg,carrot
..\Fruits_Vegetables\train\banana\Image_86.jpg,banana
..\Fruits_Vegetables\train\eggplant\Image_20.jpg,eggplant
..\Fruits_Vegetables\train\spinach\Image_17.jpg,spinach
..\Fruits_Vegetables\train\sweetcorn\Image_24.jpg,sweetcorn
..\Fruits_Vegetables\train\soy beans\Image_88.jpg,soy beans
..\Fruits_Vegetables\train\turnip\Image_76.jpg,turnip
..\Fruits_Vegetables\train\grapes\Image_14.jpg,grapes
..\Fruits_Vegetables\train\lemon\Image_65.jpg,lemon
..\Fruits_Vegetables\train\corn\Image_100.jpg,corn
..\Fruits_Vegetables\train\banana\Image_72.jpg,banana
..\Fruits_Vegetables\train\cucumber\Image_70.jpg,cucumber
..\Fruits_Vegetables\train\bell pepper\Image_42.jpg,bell pepper
..\Fruits_Vegetables\train\onion\Image_45.jpg,onion
..\Fruits_Vegetables\train\beetroot\Image_96.jpg,beetroot
..\Fruits_Vegetables\train\apple\Image_58.jpg,apple
..\Fruits_Vegetables\train\sweetpotato\Image_54.jpg,sweetpotato
..\Fruits_Vegetables\train\beetroot\Image_87.jpg,beetroot
..\Fruits_Vegetables\train\apple\Image_49.jpg,apple
..\Fruits_Vegetables\train\corn\Image_11.jpg,corn
..\Fruits_Vegetables\train\peas\Image_92.jpg,peas
..\Fruits_Vegetables\train\chilli pepper\Image_34.jpg,chilli pepper
..\Fruits_Vegetables\train\lettuce\Image_44.jpg,lettuce
..\Fruits_Vegetables\train\soy beans\Image_75.jpg,soy beans
..\Fruits_Vegetables\train\spinach\Image_20.jpg,spinach
..\Fruits_Vegetables\train\bell pepper\Image_71.jpg,bell pepper
..\Fruits_Vegetables\train\pomegranate\Image_61.jpg,pomegranate
..\Fruits_Vegetables\train\watermelon\Image_100.jpg,watermelon
..\Fruits_Vegetables\train\potato\Image_6.jpg,potato
..\Fruits_Vegetables\train\peas\Image_95.jpg,peas
..\Fruits_Vegetables\train\pineapple\Image_27.jpg,pineapple
..\Fruits_Vegetables\train\spinach\Image_82.jpg,spinach
..\Fruits_Vegetables\train\pear\Image_31.jpg,pear
..\Fruits_Vegetables\train\raddish\Image_98.jpg,raddish
..\Fruits_Vegetables\train\lemon\Image_92.jpg,lemon
..\Fruits_Vegetables\train\onion\Image_20.jpg,onion
..\Fruits_Vegetables\train\sweetpotato\Image_95.jpg,sweetpotato
..\Fruits_Vegetables\train\turnip\Image_9.jpg,turnip
..\Fruits_Vegetables\train\bell pepper\Image_9.jpg,bell pepper
..\Fruits_Vegetables\train\pear\Image_39.jpg,pear
..\Fruits_Vegetables\train\cabbage\Image_45.jpg,cabbage
..\Fruits_Vegetables\train\chilli pepper\Image_8.jpg,chilli pepper
..\Fruits_Vegetables\train\carrot\Image_6.jpg,carrot
..\Fruits_Vegetables\train\pear\Image_5.jpg,pear
..\Fruits_Vegetables\train\mango\Image_21.jpg,mango
..\Fruits_Vegetables\train\soy beans\Image_35.jpg,soy beans
..\Fruits_Vegetables\train\beetroot\Image_20.jpg,beetroot
..\Fruits_Vegetables\train\apple\Image_51.jpg,apple
..\Fruits_Vegetables\train\cauliflower\Image_77.jpg,cauliflower
..\Fruits_Vegetables\train\bell pepper\Image_4.jpg,bell pepper
..\Fruits_Vegetables\train\pear\Image_9.jpg,pear
..\Fruits_Vegetables\train\carrot\Image_71.jpg,carrot
..\Fruits_Vegetables\train\pear\Image_19.jpg,pear
..\Fruits_Vegetables\train\raddish\Image_89.jpg,raddish
..\Fruits_Vegetables\train\grapes\Image_62.jpg,grapes
..\Fruits_Vegetables\train\eggplant\Image_51.jpg,eggplant
..\Fruits_Vegetables\train\carrot\Image_35.jpg,carrot
..\Fruits_Vegetables\train\watermelon\Image_41.jpg,watermelon
..\Fruits_Vegetables\train\carrot\Image_56.jpg,carrot
..\Fruits_Vegetables\train\grapes\Image_29.jpg,grapes
..\Fruits_Vegetables\train\peas\Image_71.jpg,peas
..\Fruits_Vegetables\train\watermelon\Image_98.jpg,watermelon
..\Fruits_Vegetables\train\orange\Image_76.jpg,orange
..\Fruits_Vegetables\train\orange\Image_13.jpg,orange
..\Fruits_Vegetables\train\pomegranate\Image_73.JPG,pomegranate
..\Fruits_Vegetables\train\soy beans\Image_62.jpg,soy beans
..\Fruits_Vegetables\train\tomato\Image_51.jpg,tomato
..\Fruits_Vegetables\train\jalepeno\Image_44.jpg,jalepeno
..\Fruits_Vegetables\train\cucumber\Image_49.JPG,cucumber
..\Fruits_Vegetables\train\beetroot\Image_75.jpg,beetroot
..\Fruits_Vegetables\train\pomegranate\Image_87.jpg,pomegranate
..\Fruits_Vegetables\train\sweetcorn\Image_11.jpg,sweetcorn
..\Fruits_Vegetables\train\apple\Image_6.jpg,apple
..\Fruits_Vegetables\train\lemon\Image_41.jpg,lemon
..\Fruits_Vegetables\train\turnip\Image_50.jpg,turnip
..\Fruits_Vegetables\train\pear\Image_100.jpg,pear
..\Fruits_Vegetables\train\potato\Image_95.jpg,potato
..\Fruits_Vegetables\train\jalepeno\Image_88.jpg,jalepeno
..\Fruits_Vegetables\train\apple\Image_80.jpg,apple
..\Fruits_Vegetables\train\lettuce\Image_79.jpg,lettuce
..\Fruits_Vegetables\train\ginger\Image_15.jpg,ginger
..\Fruits_Vegetables\train\soy beans\Image_14.jpg,soy beans
..\Fruits_Vegetables\train\mango\Image_86.jpg,mango
..\Fruits_Vegetables\train\chilli pepper\Image_5.jpg,chilli pepper
..\Fruits_Vegetables\train\potato\Image_7.jpg,potato
..\Fruits_Vegetables\train\turnip\Image_95.jpg,turnip
..\Fruits_Vegetables\train\cauliflower\Image_47.jpg,cauliflower
..\Fruits_Vegetables\train\lemon\Image_14.jpg,lemon
..\Fruits_Vegetables\train\sweetpotato\Image_12.jpg,sweetpotato
..\Fruits_Vegetables\train\capsicum\Image_41.jpg,capsicum
..\Fruits_Vegetables\train\watermelon\Image_49.jpg,watermelon
..\Fruits_Vegetables\train\mango\Image_20.jpg,mango
..\Fruits_Vegetables\train\capsicum\Image_84.jpg,capsicum
..\Fruits_Vegetables\train\ginger\Image_31.jpg,ginger
..\Fruits_Vegetables\train\capsicum\Image_38.jpg,capsicum
..\Fruits_Vegetables\train\lemon\Image_74.jpg,lemon
..\Fruits_Vegetables\train\bell pepper\Image_36.jpg,bell pepper
..\Fruits_Vegetables\train\cabbage\Image_50.jpg,cabbage
..\Fruits_Vegetables\train\cabbage\Image_67.jpg,cabbage
..\Fruits_Vegetables\train\onion\Image_17.jpg,onion
..\Fruits_Vegetables\train\mango\Image_39.jpg,mango
..\Fruits_Vegetables\train\pineapple\Image_99.jpg,pineapple
..\Fruits_Vegetables\train\ginger\Image_85.jpg,ginger
..\Fruits_Vegetables\train\pomegranate\Image_8.jpg,pomegranate
..\Fruits_Vegetables\train\spinach\Image_95.jpg,spinach
..\Fruits_Vegetables\train\lettuce\Image_56.jpg,lettuce
..\Fruits_Vegetables\train\sweetpotato\Image_71.jpg,sweetpotato
..\Fruits_Vegetables\train\raddish\Image_44.jpg,raddish
..\Fruits_Vegetables\train\carrot\Image_7.jpg,carrot
..\Fruits_Vegetables\train\lettuce\Image_80.jpg,lettuce
..\Fruits_Vegetables\train\cabbage\Image_28.jpg,cabbage
..\Fruits_Vegetables\train\paprika\Image_94.jpg,paprika
..\Fruits_Vegetables\train\lettuce\Image_64.jpg,lettuce
..\Fruits_Vegetables\train\garlic\Image_29.jpg,garlic
..\Fruits_Vegetables\train\ginger\Image_60.jpg,ginger
..\Fruits_Vegetables\train\raddish\Image_58.jpg,raddish
..\Fruits_Vegetables\train\mango\Image_63.jpg,mango
..\Fruits_Vegetables\train\carrot\Image_32.jpg,carrot
..\Fruits_Vegetables\train\sweetpotato\Image_19.jpg,sweetpotato
..\Fruits_Vegetables\train\sweetcorn\Image_38.jpg,sweetcorn
..\Fruits_Vegetables\train\mango\Image_83.jpg,mango
..\Fruits_Vegetables\train\jalepeno\Image_40.jpg,jalepeno
..\Fruits_Vegetables\train\spinach\Image_26.jpg,spinach
..\Fruits_Vegetables\train\carrot\Image_60.jpg,carrot
..\Fruits_Vegetables\train\bell pepper\Image_97.jpg,bell pepper
..\Fruits_Vegetables\train\pomegranate\Image_97.jpg,pomegranate
..\Fruits_Vegetables\train\tomato\Image_14.jpg,tomato
..\Fruits_Vegetables\train\orange\Image_10.jpg,orange
..\Fruits_Vegetables\train\cucumber\Image_52.jpg,cucumber
..\Fruits_Vegetables\train\cucumber\Image_64.jpg,cucumber
..\Fruits_Vegetables\train\pomegranate\Image_66.jpg,pomegranate
..\Fruits_Vegetables\train\watermelon\Image_83.jpg,watermelon
..\Fruits_Vegetables\train\pomegranate\Image_10.jpg,pomegranate
..\Fruits_Vegetables\train\soy beans\Image_3.jpg,soy beans
..\Fruits_Vegetables\train\kiwi\Image_14.jpg,kiwi
..\Fruits_Vegetables\train\banana\Image_14.jpg,banana
..\Fruits_Vegetables\train\apple\Image_63.jpg,apple
..\Fruits_Vegetables\train\sweetpotato\Image_25.jpg,sweetpotato
..\Fruits_Vegetables\train\pineapple\Image_49.jpg,pineapple
..\Fruits_Vegetables\train\banana\Image_62.jpg,banana
..\Fruits_Vegetables\train\apple\Image_57.jpg,apple
..\Fruits_Vegetables\train\spinach\Image_34.jpg,spinach
..\Fruits_Vegetables\train\chilli pepper\Image_94.jpg,chilli pepper
..\Fruits_Vegetables\train\mango\Image_85.jpg,mango
..\Fruits_Vegetables\train\apple\Image_61.jpg,apple
..\Fruits_Vegetables\train\paprika\Image_32.jpg,paprika
..\Fruits_Vegetables\train\mango\Image_88.jpg,mango
..\Fruits_Vegetables\train\jalepeno\Image_38.jpg,jalepeno
..\Fruits_Vegetables\train\paprika\Image_65.jpg,paprika
..\Fruits_Vegetables\train\soy beans\Image_24.jpg,soy beans
..\Fruits_Vegetables\train\peas\Image_76.JPG,peas
..\Fruits_Vegetables\train\banana\Image_64.jpg,banana
..\Fruits_Vegetables\train\mango\Image_94.jpg,mango
..\Fruits_Vegetables\train\beetroot\Image_19.jpg,beetroot
..\Fruits_Vegetables\train\sweetpotato\Image_3.jpg,sweetpotato
..\Fruits_Vegetables\train\ginger\Image_96.jpg,ginger
..\Fruits_Vegetables\train\pomegranate\Image_6.jpg,pomegranate
..\Fruits_Vegetables\train\peas\Image_22.jpg,peas
..\Fruits_Vegetables\train\pomegranate\Image_19.jpg,pomegranate
..\Fruits_Vegetables\train\garlic\Image_41.jpg,garlic
..\Fruits_Vegetables\train\sweetcorn\Image_45.jpg,sweetcorn
..\Fruits_Vegetables\train\chilli pepper\Image_12.JPG,chilli pepper
..\Fruits_Vegetables\train\carrot\Image_61.jpg,carrot
..\Fruits_Vegetables\train\garlic\Image_97.jpg,garlic
..\Fruits_Vegetables\train\cauliflower\Image_66.jpg,cauliflower
..\Fruits_Vegetables\train\jalepeno\Image_5.jpg,jalepeno
..\Fruits_Vegetables\train\tomato\Image_67.jpg,tomato
..\Fruits_Vegetables\train\garlic\Image_60.jpg,garlic
..\Fruits_Vegetables\train\soy beans\Image_97.jpg,soy beans
..\Fruits_Vegetables\train\beetroot\Image_8.jpg,beetroot
..\Fruits_Vegetables\train\pineapple\Image_55.jpg,pineapple
..\Fruits_Vegetables\train\bell pepper\Image_76.jpg,bell pepper
..\Fruits_Vegetables\train\spinach\Image_28.jpg,spinach
..\Fruits_Vegetables\train\paprika\Image_16.jpg,paprika
..\Fruits_Vegetables\train\grapes\Image_67.jpg,grapes
..\Fruits_Vegetables\train\chilli pepper\Image_3.jpg,chilli pepper
..\Fruits_Vegetables\train\banana\Image_71.jpg,banana
..\Fruits_Vegetables\train\corn\Image_93.jpg,corn
..\Fruits_Vegetables\train\kiwi\Image_7.jpg,kiwi
..\Fruits_Vegetables\train\grapes\Image_46.jpg,grapes
..\Fruits_Vegetables\train\lettuce\Image_30.jpg,lettuce
..\Fruits_Vegetables\train\eggplant\Image_56.jpg,eggplant
..\Fruits_Vegetables\train\grapes\Image_44.jpg,grapes
..\Fruits_Vegetables\train\apple\Image_45.jpg,apple
..\Fruits_Vegetables\train\apple\Image_25.jpg,apple
..\Fruits_Vegetables\train\paprika\Image_20.jpg,paprika
..\Fruits_Vegetables\train\cucumber\Image_98.jpg,cucumber
..\Fruits_Vegetables\train\jalepeno\Image_52.jpg,jalepeno
